url,title,author,avg_rating,num_ratings,num_reviews
https://www.goodreads.com/book/show/76620.Watership_Down,"Watership Down (Watership Down, #1)",Richard  Adams,4.07,"455,099",15095
https://www.goodreads.com/book/show/61904.Paladin_of_Souls,"Paladin of Souls (World of the Five Gods, #2)",Lois McMaster Bujold,4.17,"23,068",1374
https://www.goodreads.com/book/show/7329.Unfinished_Tales_of_N_menor_and_Middle_Earth,Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,3.96,"35,174",938
https://www.goodreads.com/book/show/28248.Priestess_of_the_White,"Priestess of the White (Age of the Five, #1)",Trudi Canavan,3.87,"16,282",546
https://www.goodreads.com/book/show/23754.Preludes_Nocturnes,"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,4.23,"235,113",7291
https://www.goodreads.com/book/show/176843.The_Outstretched_Shadow,"The Outstretched Shadow (Obsidian Mountain, #1)",Mercedes Lackey,4.02,"10,941",390
https://www.goodreads.com/book/show/68520.The_Winter_King,"The Winter King (The Warlord Chronicles, #1)",Bernard Cornwell,4.26,"41,525",1975
https://www.goodreads.com/book/show/102266.Ill_Met_in_Lankhmar,Ill Met in Lankhmar (Fafhrd and the Gray Mouser #1-2),Fritz Leiber,4.16,"2,801",81
https://www.goodreads.com/book/show/22845353-circle-of-reign,"Circle of Reign (The Dying Lands Chronicle, #1)",Jacob  Cooper,3.93,834,113
https://www.goodreads.com/book/show/99461.Split_Infinity,"Split Infinity (Apprentice Adept, #1)",Piers Anthony,3.97,"17,141",409
https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,"2,549,262",28335
https://www.goodreads.com/book/show/62292.Sword_in_the_Storm,"Sword in the Storm (The Rigante, #1)",David Gemmell,4.28,"10,910",336
https://www.goodreads.com/book/show/768878.Abarat,Abarat,Clive Barker,4.09,"26,672",1478
https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Jonathan Strange & Mr Norrell,Susanna Clarke,3.84,"217,541",15794
https://www.goodreads.com/book/show/64401.Another_Fine_Myth,"Another Fine Myth (Myth Adventures, #1)",Robert Lynn Asprin,4.03,"23,018",685
https://www.goodreads.com/book/show/6101718-the-magicians,"The Magicians (The Magicians, #1)",Lev Grossman,3.52,"248,732",23406
